COLLEGE_NAME,WEBSITE_LINK
A M Reddy Memorial college of Engineering & Technology,www.amreddyengineering.com
Vignan's Institute of Information Technology,http://www.vignaniit.com/
Jogaiah Institute of Tech. and Science,http://www.jitspalakol.org
Kshatriya College of Engineering,www.kcea.ac.in
Vignan Lara Institute of Technology & Science,http://www.vignanlara.org
Aizza College of Engineering & Technology,www.aizza.ac.in
Vignan Engineering College|,http://www.vignanits.ac.in/
Vignan Bharathi Institute Of Technology,www.vbithyd.ac.in
Kuppam Engineering College,www.kec.ac.in
VIF College of Engineering & Technology,www.vifcollege.org/
Krishna Murthy Institute of Technology & Engineering,www.kite.edu.in
Kottam College of Engineering,www.ktmk.in
Vasavi College of Engineering,http://www.vce.ac.in/
Maheshwar Engineering College,http://www.mecp.net.in/
Anil Neerukonda Institute of Technology and Science,www.anits.edu.in
V. R. Siddhartha Engineering College,http://www.vrsiddhartha.ac.in/
Vijay Instt. of Tech.& Science,http://www.vitsedu.in/
Vijaya Engineering College,www.veccse.co.in/
Vijaya Rural Engineering College,http://www.vrecedu.in/
Aditya Engineering College| East Godavari.,www.aec.edu.in
Alfa College Of Engineering & Technology,http://www.alpha-cet.in
JNTU College of Engineering,www.jntua.ac.in/
Jyothishmathi College of Engineering and Technology,http://www.jcetech.in/
Vidya Bharathi Institute Of Technology,http://www.vbit.co.in/
Lakireddy Bali Reddy College of Engineering,http://www.lbrce.ac.in/
Velagapudi Ramakrishna Siddhartha Engineering College,http://www.vrsiddhartha.ac.in/
Jyothishmathi Institute of Tech & Science,http://www.jits.ac.in/
Visvesvaraya College of Engineering Technology,www.vcethyd.ac.in
JB Institute of Engineering & Technology,http://www.jbiet.edu.in/
Jayamukhi Institute of Technology Science,http://www.jits.in/
Vasireddy Venkatadri Institute of Technology,http://www.vvitguntur.com/
Akula Sree Ramulu College of Engineering,www.asrgroup.co.in
Akula Gopayya College of Engineering & Technology,www.asrgroup.co.in
Vidya Vikas Institute of Technology,www.vvit.in/
Joginpally B.R. Engineering College,http://www.jbrec.edu.in/
Vazir Sultan College of Engineering,www.apengineeringcolleges.info
Mahatma Gandhi Institute of Technology,http://www.mgit.ac.in/
Madina Engineering College,www.madinaengg.org
Adam's Engineering College,www.adamsenggcollege.ac.in
Amrita Sai Institute of Science & Technology,www.amritasai.org.in
Vallurupalli Nageshwara Rao Vignana Jyothi Institute of Engineering & Technology,http://www.vnrvjiet.ac.in/
Madanapalle Institute of Technology & Science,http://www.mits.ac.in/
Madhira Institute of Technology and Science,http://www.mitskodad.ac.in/
Vaishnavi Institute of Technology,www.vitt.edu.in/
B.I.T Institute of Technology,www.bitit.org
St. Mary's College of Engineering and Technology,http://www.stmarysgroup.com/
National Institute of Fire Engineering & Safety Management,http://www.nifsindia.net
Raja Mahendra College of Engineering|,http://www.rajamahendra.org/
Chadalawada Ramanamma Engineering College,http://www.crectirupati.com
Chaitanya Bharathi Institute of Technology,www.cbit.ac.in
Chaitanya Engineering College,www.cec.ac.in/
Chaitanya Institute of Engineering & Technology,http://www.cietrjy.com/
Chaitanya Institute of Science & Technology,http://www.cist.in/
Chalapathi Institute of Engineering & Technology,http://www.chalapathiengg.ac.in/
Amina Institute Of Technology,http://www.amina.in/
Loyola Institute of Technology And Managemen,http://www.litam.ac.in/
Lord's Institute of Engineering and Technology,http://www.lordsinstitute.in/
University College of Engineering Osmania,http://www.uceou.edu/
Maheshwara Institute of Technology,http://www.mith.ac.in/
Vaageswari College Of Engineering,www.vaageswaricolleges.com
Malineni Lakshmaiah Engineering College,http://www.malinenicolleges.ac.in/
Annamacharya Institute of Tech. & Science,www.aitskadapa.ac.in
Annamacharya Institute Of Technology & Science| Piglipur,www.aits-hyd.org
Malla Reddy College of Engineering & Technology,www.mriet.ac.in/
TRR Engineering College,http://www.trrec.com/
JNTU College of Engineering Andhra Pradesh,www.jntuh.ac.in/
Intel Engineering College,www.intellengg.ac.in/
Vaagdevi Institute of Tech & Science,http://www.vitspdtr.ac.in/
Hi-Point College of Engineering & Technology,http://www.hipointcollege.com/
Lenora College of Engineering,www.lce.ac.in
Vardhaman College of Engineering,www.vardhaman.org
Jaya Prakash Narayan College of Engineering,www.jpnce.ac.in
Amara Institute of Engineering & Technology,www.aietnrt.in
JNTU College of Engineering Godavari,http://www.jntuk.edu.in/
Al Habeeb College of Engineering & Technology,www.alhabeebcollege.ac.in
Tirumala Engineering College,http://www.tmecnrt.org/
Swarnandhra College of Engineering & Technology,http://www.swarnandhra.ac.in/
Maturi Venkata Subba Rao Engineering College,www.mvsrec.edu.in
Vivekananda Institute of Tech & Science Bommakal,http://www.vits.ac.in/
Medak College of Engineering & Technology,http://www.medakenggcollege.com/
Arjun College of Technology & Science,www.arjunengg.org
Arkay College of Engineering and Technology,www.arkaycollege.com
Kakatiya Institute of Technology & Science,www.kitsw.ac.in
Swarnandhra Institute of Engineering & Technology,www.swarnandhra.ac.in
Aditya Institute of Technology and Management,www.adityatekkali.com
Swarna Bharathi Institute of Science and Technology,http://www.sbit.ac.in/
Malla Reddy Institute of Technology & Science,http://www.mrits.ac.in/
Koneru Lakshmaiah College Of Engineering,http://www.klce.ac.in
Anurag Engineering College,http://anurag.ac.in/
Moghal College of Engineering and Technology,http://www.moghalengineeringcollege.com/
Tenali Engineering College,http://www.tec.edu.in/
Teegala Krishna Reddy Engineering College,www.tkrec.ac.in
MLR Institute of Technology,http://www.mlrinstitutions.ac.in/
Indur Institute of Engineering & Technology,www.induriet.org
VR Sidhartha Engineering College,http://www.vrsiddhartha.ac.in/
Holy Mary Institute Of Tech. & Science,http://www.hitscolleges.com/
Mother Teresa Institute of Science and Technology,http://www.mistech.ac.in/
Mother Theressa College of Engineering & Technology,http://www.mothertheressacollege.com/
Khader Memorial College of Engineering & Technology,www.khadercollege.ac.in
Keshav Memorial Institute of Technology,www.kmit.in
Kakinada Institute of Engineering & Technology,www.kitsdivili.ac.in
Institute of Aeronautical Engineering,http://web.iare.ac.in/
G.Pulla Reddy Engineering College,www.gprec.ac.in
Swami Ramananda Tirtha Institute of Science & Technology,http://www.srtist.ac.in/
Kamala Institute of Tech & Science,http://www.kitssingapuram.com
Aurora's Engineering College,http://www.aurora.ac.in/
Aurora's Scientific Technological And Research Academy,www.astra.edu.in
Nagarjuna Institute of Technology & Science,www.nitsmiryalguda.ac.in
Anurag Engineering College,www.anurag.ac.in
Malla Reddy Engineering College,http://www.mrec.ac.in/
Viswanandha Institute of Technology & Management,http://www.vitamcoe.edu.in/
Al Ameer College of Engineering and Information,www.alameer.in
Murthy Institute of Technology and Science,http://www.mutk.in/
Muffakham Jah College of Engineering and Technology,www.mjcollege.ac.in
Ayaan College of Engineering & Technology,www.ayaancollege.com
Nalanda Institute of Engineering & Technology,http://niet.ac.in
Nalla Malla Reddy Engineering College,http://www.nmrec.edu.in/
Narasaraopet Engineering College,http://www.nrtenggcollege.com/
Narasimha Reddy Engineering College,www.nrec.ac.in
Narayana Engineering College,www.necnellore.com
SV College of Engineering and Technology,http://www.svcetedu.org/
Hi-Tech College of Engineering & Technology,http://www.htec.ac.in/
Hindu College of Engineering and technology,http://www.hinduengg.com/
Mekapati Rajamohan Reddy Institute of Technology and Science,http://www.meritstech.in/
St.Martin's Engineering College,http://www.smec.ac.in/
Gvrs College Of Engineering And Technology,http://gvrseduinst.com
St.Ann's College of Engineering & Technology,http://www.sacet.ac.in/
Sharada Post Graduate Institute of Research and Technological Sciences,www.spirts.net
Newton Institute of Engineering|,http://www.nie.newton.edu.in
St. Johns College of Engineering & Technology,www.sjcet.ac.in
NIMRA College of Engineering & Technology.,www.nimra.in
St Theresa Institute of Engineering & Technology,www.sttheressaengg.ac.in/
Bandari Srinivas Institute of Technology,www.bsit.org.in
Nimra Institute of Science & Technology,http://www.nimra.in/
Sri G.Pulla Reddy Engineering College,www.gprec.ac.in
Stanley Stephen College of Engineering & Technology,http://www.stanleystephen.edu.in/
Netaji Institute Of Engineering and Technology,http://www.nietians.com/
Noble College of Engineering & Technology for Women,http://www.ncet.ac.in/
Srinivas Reddy Institute of Technology.,http://www.sritedu.in/
Srinidhi Institute Of Science And Technology,www.sreenidhi.edu.in/
Sri Y P R College of Engineering & Technology,www.yprcet.in
SSJ Engineering College,http://www.ssjec.com/
Sridevi Women's Engineering College,www.srideviengg.com
Sri Mittapalli college of Engineering,www.srimittapallieducation.com
Pragati Engineering College,http://www.pragati.ac.in
Sri Venkatesa Perumal College of Engineering & Technology,www.svpcet.org
Bharat institute of engineering and technology,www.biet.ac.in
Sri Sunflower College of Engineering and Technology,www.sunflowercet.org
Gokula Krishna College of Engineering,http://www.gkcesp.com/
Sri Satya Narayana Engineering College,www.ssn.org.in
P.Indra Reddy Memorial engineering College,www.pirmec.com
Sri Sarada Institute of Science & Technology,www.ssvp.ac.in
Sri Sai Institute of Tech. & Science,www.ssits.ac.in
Bhasker Engineering College,http://www.jbgroup.org.in/bec/
G. Narayanamma Institute of Technology and Science,www.gnits.ac.in
SRK Institute of Technology,www.srkit.in/
Sri Venkateshwara College of Engineering & Technology,www.svcetedu.org
Prajna Institute Of Technology And Managment,www.prajnaitm.com
Sri Kottam Tulasi Reddy Memorial College of Engineering,www.ktmc.in
Godavari Institute of Engineering & Technology,http://www.giet.ac.in/
Sri K.S. Raju Institute of Tech. & Science,www.ksrit.ac.in
Gnyana Saraswati College of Engineering and Technology,www.gscet.ac.in/
Prasad V. Potluri Siddhartha Institute of Technology,www.pvpsiddhartha.ac.in
Bomma Institute Of Tech. & Science,www.bomma.ac.in
Sri Indu college of engineering and Technology,www.sriindugroup.org
Bonam Venkata Chalmayya Institute Of Technology,www.bvcits.ac.in
GMR Institute of Technology,http://www.gmrit.org/
Princeton College Of Engineering & Technology,www.princetonedu.org
Gokul Institute of Tech. & Science,http://www.gokulcollege.com/
SRR Engineering College Andhra Pradesh,http://www.srrec.ac.in/
Nimra Institute of Engineering & Technology,www.nimra.in
Sreenidhi Institute of Science and Technology,www.snist.com
Sree Visvesvaraya Institute of Technology & Science,www.svitsmbnr.ac.in
Gayatri Vidya Parishad College of Engineering,www.gvpce.ac.in
Sree Vidyanikethan Engineering College,www.vidyanikethan.edu
Gates Institute of Technology,www.gatesit.org
Sree Rama Institute of Technology & Science,www.srits.ac.in
Raghu Engineering College,www.raghuenggcollege.com/
Raghu Institute of Technology -,http://www.raghuinstech.com
Sreenivasa Institute of Technology and Management Studies,http://www.sitams.org
Central Institute of Tool Design,http://www.citdindia.org/
RRSCollege of Engineering and Technology,http://www.rrscet.edu.in/
Sindhura College Of Engineering & Technology,www.sind.co.in
Samskruti College of Engineering and Technology,www.samskrutienggcollege.com
Sarada Institute of Science Technology & Management,www.sistam.in
Geethanjali College of Engineering and Technology,http://www.geethanjaliinstitutions.com
QIS college of Engineering and Technology,http://www.qiscet.edu.in/
Ramappa Engineering College,http://www.arti.edu.in/
Ramireddy Subbarami Reddy Engineering College,http://www.rsrec.in/
QUBA College of Engineering & Technology,http://www.qubacollege.in/
Royal Institute of Technology & Science,www.ritsengg.com/
Spoorthy Engineering College,www.sphoorthyengg.com
Chirala Engineering College,http://www.cecc.co.in/
Sri Chundi Ranganayakulu Engineering College,www.crenggcollege.com
Global Institute of Engineering & Technology,http://www.globalhyd.edu.in/
Pydah College of Engineering & Technolog,www.pydah.org/pydengg
Sir Vishveshwaraiah Institute of Science & Technology|,www.vist.ac.in
Devineni Venkata Ramana & Dr. Hima Sekhar MIC College of Technology,http://www.mictech.ac.in/
RVR & JC College of Engineering,www.rvrjcce.ac.in/
Dr. Samuel George Institute of Engineering & Technology,http://www.drsgiet.com/
RVR Institute of Engineering and Technology,http://www.rvrcollege.org/
CMR Institute of Technology,http://www.cmritonline.org
S.R. Engineering College,www.srecwarangal.ac.in
S.S. Institute of Technology,www.ssit.net.in
Dr Paul Raj Engineering College,http://www.dprec.ac.in/
Dr KV Subba Reddy Institute of Technology,http://www.drkvsrit.in/
Sagi Ramakrishnam Raju Engineering College,www.srkrec.ac.in
Global Institute of Engineering and Technology,http://www.globalhyd.edu.in/
Hasvita Institute of Engineering & Technology HIET,www.hasvita.com
Sarada Institute of Technology and Science,www.sits.ac.in
Christu Jyothi Institute of Technology and Science,http://www.cjits.org/
CMR College of Engineering & Technology,http://www.cmrcet.org/
Dr.V.R.K.Women's College of Engineering & Technology,http://www.drvrkwomenscollege.com
Sasi Institute of Tech Engineering,http://www.sasi.ac.in/
College Of Engineering Gandhi Institute Of Technology,http://www.gitam.edu/
Deccan College of Engineering and Technology,http://www.deccancollege.ac.in/
Bapatla Engineering College,www.becbapatla.ac.in
Daita Madhusudhana Sastry Sri Venkateswara Hindu College of Engineering,http://www.svhce.org.in/
Dadi Institute of Engineering and Technology,www.dietakp.com;
D.V.R. College of Engineering and Technology,www.dvrcollege.com/
CVR College of Engineering,http://www.cvr.ac.in/
Shahjahan College Of Engineering & Technology,www.sjcolleges.com/engg
Computech Educational Society,http://www.distanceeducationcis.com
Sana Engineering College,www.sanaeng.in
Sai Spurthi Institute of Technology,www.saispurthi.ac.in
Siddharth Institute of Engineering & Technology,www.sietk.org
DRK Institute of Science & Technology,www.drkist.edu.in
College of Engineering,http://www.andhrauniversity.edu.in/
Dr.VRK College of Engineering & Technology,http://www.drvrkcollege.com/
North Eastern Regional Institute of Science & Technology,www.nerist.ac.in
Jorhat Engineering College,http://www.jecassam.in
Don Bosco College of Engineering and Technology,www.dbuniversity.in
Girijananda Chowdhury Institute of Management and Technology,http://www.gimt-guwahati.ac.in/
Assam Engineering College,www.aec.ac.in
Central Institute of Plastics Engineering & Technology Patna,www.cipetindia.com
RP Sharma Institute of Technology,www.rpsit.com
Muzaffarpur Institute of Technology,http://www.mitmuzaffarpur.org
SS College of Engineering,http://www.ssengineeringcollege.org/showpage.php?i
Admerit College|Patna,http://admerit.org/
Netaji Subhas Institute of Technology,http://nsit.in
Maulana Azad College of Engineering and Technology,www.macet.net.in
Anugrah Narayan College,www.ancpatna.com
Bhagalpur College of Engineering,http://www.bcebhagalpur.ac.in
Miilia Institute Of Technology|,www.mitpurnea.org.in
Shri Shankaracharya Mahavidyalaya| Junwani,www.sscet.com
Chandigarh College of Engineering and Technology,www.ccet.org
Government College of Art & Craft,http://www.gcac.edu.in
National Institute of Technical Teachers' Training & Research| NITTTR,www.nittrchd.ac.in
Central College of Engineering & Management,http://ccemraipur.co.in/
Chattisgarh Institute of Technology,http://www.citrjn.ac.in/
Ashoka Institute Of Technology & Managemen,www.ashokainstitute.com
O P Jindal Institute of Technology,http://www.opjit.org/
Columbia Institute of Engg. & Technology,http://cgiraipur.org/
Bhilai Institute of Technology Bhilai House,www.bitdurg.org
Shri Shankaracharya College of Engineering,http://www.ssecb.ac.in/
Chhatrapati Shivaji Institute of Technology,www.csitdurg.ac.in
Chhattisgarh Institute of Management & Technology,www.cimt.ac.in
RSR Rungta College of Engineering and Technology,http://www.rungtacolleges.com/rsrrcet.aspx
Chouksey Engineering College,www.cecbsp.com
Shri Shankaracharya College of Engineering & Technology,www.sstc.ac.in
Lakhmi Chand Institute of Technology,http://www.lcitbilaspur.com/
Lal Bahadur Shastri Institute of Management Studies and Research,www.ggu.ac.in
Govt Engineering College Raipur,http://www.gecraipur.ac.in/
MM College of Technology,http://www.mmctraipur.com/
Government Engineering College| Bilaspur.,http://www.gecbsp.ac.in/
Kirodimal Institute of Technology,http://kitraigarh.com/
Disha Institute of Managemnet & Technology Satya Vihar,www.dimatindia.com
J.K. Institute of Engineering,www.jkie.org
Garv Institute of Management & Technology,http://www.garvinstitute.org/
Dr C V Raman Institute of Technology,http://cvriti.edu.in/
Raipur Institute of Technology,www.rit.edu.in
R.C. Institute of Technology,www.rcitindia.org.in
Bhagwan Parshuram institute of Technology,http://www.bpitindia.com/
Government Engineering College| Jaffarpur,http://www.gecdelhi.ac.in/
Maharaja Agrasen Institute of Technology,http://www.mait.ac.in/
Amity School of Engineering and Technology,www.amity.edu/aset
Northern India Engineering College New Delhi,http://www.niecdelhi.ac.in/
Ambedkar Institute of Technology,http://www.ait.delhigovt.nic.in
National Institute of Business Studies (NIBS),http://www.nibs.in
National Power Training Institute,http://www.npti.in/
Maharaja Surajmal Institute of Technology,http://msit.in/
International Institute of Fashion Technology,www.iiftgroup.com
JBTC Institute of Management,www.jbtcinstitute.edu.in
Guru Teg Bahadur Institute of Technology,www.gtbit.org
Delhi Kannada Education Society's Institute,http://www.dkes-scs.com/
London International College of Law Technology and Management,www.londoninternational.ac.in
Banarsidas Chandiwala Institute of Information Technology,http://www.bciit.ac.in/
Shree Rayeshwar Institute of Engineering & Information Technology,www.ritgoa.com
Agnel Charities Agnel Seva Sangh Padre Conceicao College of Engineering|,www.pccegoa.org
Goa College of Engineering,www.gec.ac.in
Chaudhari Technical Institute,http://www.ddcti.ac.in/
Gandhinagar Institute of Technology,www.git.org.in
GH Patel College of Engg and Technology,www.gcet.ac.in
Valia Institute Of Technology,www.vitvalia.ac.in
SPB Patel Engineering College,www.saffrony.ac.in
R.K. School of Engineering,www.rku.ac.in
GLS Institute of Computer Technology,www.glsict.org
Sankalchand Patel College of Engineering,www.spcevng.ac.in
Ahmedabad Institute of Technology,www.aitindia.in
Vyavsai Vidya Prathisthan'S Sanch College Of Engineering,www.vvpgdulink.ac.in
Sarvajanik College of Engineering & Technology,www.scet.ac.in
Atmiya Institute of Technology & Science,www.aits.edu.in
CU Shah College of Engineering & Technology,www.ccetvbt.org
AV Parekh Technical Institute,www.avpti.org
Shantilal Shah Engineering College,www.myssec.com
Lalbhai Dalpatbhai College of Engineering,www.ldceindia.org
Sardar Vallabhbhai Patel Institute of Technolog,www.svitvasad.ac.in
Indus Institute of Engineering & Technology,www.iietjind.com
A. D. Patel Institute of Technology,www.adit.ac.in
KJ Institute Of Engineering And Technology,www.kjit.org
Parul Institute of Engineering & Technology,www.parul.ac.in
Government Engineering College| Bharuch,www.gecbharuch.com
Charotar Institute of Technology,www.charusat.ac.in
Government Engineering College Gandhinagar,www.polytechnicgnr.org
Government Engineering College Gandhinagar Gujarat,www.gecg28.ac.in
Lukhdhirji College Of Engineering,www.lecollege.org
Mahatma Gandhi Institute of Technical Education & Research Centre,www.npvgiter.org
Hasmukh Goswami College of Engineering,www.hgce.org
Sigma Group Of Institutes,http://www.sigma.ac.in/
Government Engineering College of Bhuj,http://www.gecbhuj.gujarat.gov.in/
SV National Institute of Technology,www.svnit.ac.in
Silver Oak College of Engineering and Technology,www.socet.edu.in
Government Engineering College Gujarat,www.polydahod@yahoo.com
LC Institute of Technology,www.lcit.org
