COLLEGE_NAME,ADDRESS,DISTRICT,STATE,OFFICE_NUMBER,EMAIl,WEBSITE_LINK
Campus| Rasayani| Tal. Khalapur. Dist. Raisad-,Raigad,Maharashtra,252005//250066,pragneshshah@mes.ac.in,www.mes.ac.in,
A M Reddy Memorial college of Engineering & Technology,Mastan Reddy Nagar Petlurivaripalem Narasaraopet Mandal Pincode - 522615 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,08647 247190/ 98664 14252,principal@amreddyengineering.com,www.amreddyengineering.com
Vignan's Institute of Information Technology,Vadlapudi Gajuwaka Pincode - 530046 Visakhapatnam (Dist) Andhra Pradesh,VISAKHAPATNAM,Andhra Pradesh,0891 - 27 55 222/333/444/555,vignaniit@yahoo.com,http://www.vignaniit.com/
Vikas Institute Of Engineering and Technology,Jungle Ekla No.2(hatwa Tola) Pincode - 273013 Andhra Pradesh,,Andhra Pradesh,0551-6453840,vidhyaatech@yahoo.co.in,http://www.vietgkp.org/
Jogaiah Institute of Tech. and Science,Kalagampudi Village Eelamanchili West Godavari (Dist) Andhra Pradesh,WEST GODAVARI,Andhra Pradesh,08814-283799/283755/283700,info@jitspalakol.org,http://www.jitspalakol.org
Kshatriya College of Engineering,Nh-16; Chepur Village Armoor Pincode - 503224 Nizamabad (Dist) Andhra Pradesh,NIZAMABAD,Andhra Pradesh,-221871,kcea_engg@yahoo.com,www.kcea.ac.in
Vignan Lara Institute of Technology & Science,Vadlamudi Village Guntur Guntur - 522213 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,0863 -2118310/ 11,vignanlara@gmail.com,http://www.vignanlara.org
Aizza College of Engineering & Technology,Mulkalla Mancherial Adilabad Mancherial - 504209 Adilabad (Dist) Andhra Pradesh,ADILABAD,Andhra Pradesh,08736 200500/202020/232345/6,mtreddy3@yahoo.com,www.aizza.ac.in
JSN College of Engineering & Technology,Khanapur (v) Manchal (m) Ibrahimpatnam Ibrahimpatnam - 504293 Adilabad (Dist) Andhra Pradesh,ADILABAD,Andhra Pradesh,,,
Vignan Institute Of Tech & Science,Deshmukhi Village Pochampally Pincode - 508284 Nalgonda (Dist) Andhra Pradesh,NALGONDA,Andhra Pradesh,90009 99072/ 99894,,http://www.vignanits.ac.in/
Vignan Engineering College|,Vadlamudi(via Tenali) Narakoduru Guntur Pincode - 522213 Guntur (Dist) Andhra Pradesh,GUNTUR,Andhra Pradesh,9866399776,info@vignanec.org,http://www.vignanits.ac.in/
Vignan Bharathi Institute Of Technology,Ashapur (v) Ghatkesar Ghatkesar Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08415-200419,principal@vbithyd.ac.in,www.vbithyd.ac.in
Kuppam Engineering College,Kes Nagar P.b. Nathan Village & Post Kuppam Pincode - 517425 Chittoor (Dist) Andhra Pradesh,CHITTOOR,Andhra Pradesh,-265445,info@kec.ac.in,www.kec.ac.in
VIF College of Engineering & Technology,Himayat Nagar Moinabad Pincode - 500075 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,08413 - 235329/ 235045,principal@vifcollege.org// vifcollege@yahoo.com,www.vifcollege.org/
Krishna Murthy Institute of Technology & Engineering,Sy. No. 23 & 39; Edulabad Village Ghatkesar Mandal Pincode - 501301 Rangareddy (Dist) Andhra Pradesh,RANGAREDDY,Andhra Pradesh,9959200303/08415 - 200303,principal@kite.edu.in,www.kite.edu.in
Kottam College of Engineering,Chinna Tekuru Village Kallur Mandal Pincode - 518218 Kurnool (Dist) Andhra Pradesh,KURNOOL,Andhra Pradesh,094901 97741,kottamsociety@gmail.com,www.ktmk.in
